Guess1,Guess2,Probability
11+27=38,9*6-54=0,0.6230322180217842
4*+13=52,609/87=7,0.6229193703097796
16+24=40,5*9-38=7,0.6229193703097758
58-11=47,9*2/06=3,0.6229193703097702
3*21/9=7,80-26=54,0.6228629464537705
11+27=38,6*9-0=54,0.6228065225977626
40-14=26,9*8+3=75,0.6226936748857486
2+017=19,5*8-34=6,0.6226372510297431
4*6+9=33,70-12=58,0.6225244033177342
17+2=019,5*8-34=6,0.6225244033177325
26+14=40,5*9-37=8,0.6224679794617254
3*017=51,96/+48=2,0.6224679794617203
2*8-9=07,35+11=46,0.6222987078937073
3*01+5=8,96-22=74,0.6222987078937039
2*7-06=8,34+19=53,0.6221858601816956
2*8-9=07,53+11=64,0.6220730124696798
3*8/04=6,71-19=52,0.622016588613675
3*6/09=2,74+11=85,0.6220165886136684
2*043=86,5+11-9=7,0.6219601647576698
2*16/8=4,90-33=57,0.6218473170456529
2*4-06=2,38+19=57,0.6218473170456523
2*9/03=6,58-47=11,0.6217908931896531
20+41=61,5*9-37=8,0.6217908931896502
2*+48=96,70-17=53,0.6217908931896499
56*1/7=8,9+024=33,0.6217908931896441
58-17=41,9*02/6=3,0.6217344693336391
3*6/02=9,85-11=74,0.6217344693336359
1*4+1=05,67-28=39,0.6216216216216297
3*6/09=2,85-11=74,0.6216216216216224
4+012=16,5*9-38=7,0.6215651977656292
2*6-07=5,83+11=94,0.6213959261975971
1*4+1=05,67-39=28,0.6212266546295875
4*3+5=17,90-22=68,0.6212266546295875
19+15=34,7*02-6=8,0.6212266546295795
2*+16=32,57-48=09,0.6211702307735794
2*7-06=8,35+14=49,0.6211702307735778
17+21=38,9*6-4=50,0.6211702307735737
34-10=24,6*8+9=57,0.6209445353495565
2*43=+86,70-51=19,0.6209445353495533
56*1/8=7,9+024=33,0.6209445353495502
6*9/1=54,70-32=38,0.620888111493547
4+2*02=8,56-17=39,0.6207188399255282
2*5/1=10,86-37=49,0.6207188399255225
4*02-3=5,61+18=79,0.6206059922135169
17+41=58,2*9/03=6,0.6205495683575135
3*6/02=9,58-17=41,0.6205495683575122
2*+13=26,57-09=48,0.6202110252214709
2*+13=26,57-08=49,0.6201546013654654
2+017=19,6*8-45=3,0.6200981775094587
38-11=27,9*+6=054,0.6200981775094554
4+82*0=4,56-37=19,0.6199853297974514
4*7+8=36,50-29=21,0.6198160582294306
42-23=19,7*8+0=56,0.6198160582294302
24+10=34,8*9-65=7,0.6196467866614017
2*7-08=6,35+19=54,0.619533938949398
15+31=46,9*8-72=0,0.6194775150933826
2*7+5=19,80-36=44,0.6194210912373815
3*+19=57,48-42=06,0.6193646673813777
6*8/12=4,90-53=37,0.6192518196693653
3*+19=57,48-046=2,0.6191389719573529
2*9/1=18,7+046=53,0.6191389719573501
17+2=019,5*8-4=36,0.6190825481013449
3*+29=87,56/14=04,0.6190261242453433
1*5+9=14,76/38=02,0.6190261242453408
2*+39=78,70-16=54,0.619026124245338
1*54/9=6,70-32=38,0.618913276533323
5*4-14=6,9+028=37,0.6189132765333204
42-19=23,7*8+0=56,0.6188568526773226
4*6/3=08,71-12=59,0.6188568526773215
18+31=49,2*6-07=5,0.6188004288213073
1*4+1=05,67-38=29,0.6187440049653062
6*02-5=7,81+13=94,0.6186875811093017
18+19=37,5*2-04=6,0.6186311572532955
60-25=35,7*+14=98,0.618574733397288
19-+5=14,3*026=78,0.6185747333972875
1*3+05=8,96-22=74,0.618574733397286
38-11=27,6*9=+054,0.6184618856852796
20+41=61,5*9-38=7,0.6184054618292681
53+11=64,8*9-70=2,0.6184054618292666
2*9/6=03,85-11=74,0.6184054618292655
1*1+7=08,64-29=35,0.6183490379732645
37-+28=9,4*014=56,0.6183490379732642
19+-15=4,3*026=78,0.6182926141172577
6*01+1=7,92-38=54,0.6182926141172559
7*6/3=14,80-21=59,0.6181797664052407
2*8-9=07,31+15=46,0.6180104948372301
2*8-11=5,9+037=46,0.6180104948372196
41+20=61,5*9-37=8,0.6178412232692123
1*01+4=5,67-38=29,0.6178412232692089
6*02-7=5,81+13=94,0.6178412232692065
1*7+3=10,89-25=64,0.6178412232691998
56-37=19,8*02/4=4,0.6177847994131969
51+13=64,9*8-70=2,0.6175591039891711
4*8-29=3,50+17=67,0.6175026801331713
3+016=19,7*8-52=4,0.6174462562771583
6*03/2=9,85-71=14,0.6174462562771582
15+31=46,2*8-7=09,0.6173898324211552
4+51*0=4,67-28=39,0.6173334085651551
42-23=19,6*7+8=50,0.6172769847091473
38+29=67,5*1-01=4,0.6172205608531374
1*7+3=10,89-24=65,0.6172205608531307
34-10=24,7*9+5=68,0.6171077131411224
64-25=39,7+81*0=7,0.6170512892851194
6*8/4=12,90-53=37,0.617051289285117
4+51*0=4,67-29=38,0.6169948654291184
3*+14=42,85-079=6,0.6169948654291095
2*9/6=03,58-17=41,0.6169384415731067
3+81*0=3,75-29=46,0.6169384415731032
3*21/9=7,54-48=06,0.6168820177171022
16*2/4=8,90-33=57,0.6168255938610928
22-18=04,9*6+3=57,0.6168255938610893
40+17=57,8*9/36=2,0.6168255938610887
4+12=016,5*9-38=7,0.6167127461490862
4+02*2=8,56-17=39,0.6166563222930764
42-23=19,8*7+0=56,0.6165998984370659
3*21/9=7,6+048=54,0.6165434745810641
34-29=05,4*+17=68,0.6164870507250614
4*01-3=1,57+29=86,0.6164306268690527
2*4+8=16,90-37=53,0.6164306268690484
54+29=83,7*01-6=1,0.6164306268690479
4*02-5=3,81+16=97,0.6163742030130399
2*016=32,57+-49=8,0.6163742030130398
24+19=43,7*8-56=0,0.6163742030130397
1*63/7=9,80-24=56,0.6162613553010288
6*1+01=7,92-38=54,0.6162613553010272
3*24/9=8,70-14=56,0.6162049314450245
43-24=19,7*8+0=56,0.6161485075890214
3+016=19,4*8-25=7,0.6161485075890203
6*04/3=8,71-59=12,0.6161485075890163
1*8-1=07,25+39=64,0.6161485075890157
19-+4=15,3*026=78,0.6161485075890156
3+02*3=9,74-18=56,0.6160920837330114
12*2/3=8,7+049=56,0.6160920837330112
3*06/2=9,58-41=17,0.6159792360209995
14+29=43,7*8-56=0,0.6159792360209975
56-17=39,8*2+4=20,0.6159228121649882
2*+34=68,90-15=75,0.6159228121649869
4*01-1=3,57+29=86,0.6158663883089899
54+20=74,6*9/18=3,0.6158663883089891
2+014=16,5*9-8=37,0.6158663883089873
3*2+03=9,65-47=18,0.6158663883089857
2*02+4=8,56-39=17,0.615866388308982
3*5-07=8,49+12=61,0.6158663883089802
33-29=04,7*8/1=56,0.615809964452978
47-29=18,5*6/10=3,0.6157535405969834
17+41=58,6*2-09=3,0.615697116740964
1*01+3=4,95-28=67,0.6156971167409635
2+017=19,8*5-36=4,0.6156971167409598
3*+19=57,60-42=18,0.6156406928849633
6*4/3=08,71-12=59,0.6155278451729487
4*3-04=8,52+17=69,0.6155278451729478
16-2=014,8*9+3=75,0.6155278451729456
2+017=19,8*6-43=5,0.6154714213169339
4*8-5=27,6+013=19,0.6154149974609383
1*3+05=8,46-27=19,0.6154149974609348
4*5-14=6,9+028=37,0.6154149974609292
58-17=41,6*3/09=2,0.615358573604928
14+39=53,7*02-6=8,0.6153021497489191
3*24/9=8,70-16=54,0.6152457258929173
4*6/03=8,71-52=19,0.615245725892914
3+41*0=3,86-27=59,0.6152457258929099
5*9-44=1,78/26=03,0.6151893020369077
17+2=019,8*6-43=5,0.6151893020369026
25+39=64,8*01-7=1,0.6151328781809001
19-15=+4,2*038=76,0.6150764543248989
4*03-8=4,52+17=69,0.6150764543248974
35+11=46,9*8-0=72,0.6150764543248907
3*1+05=8,46-27=19,0.615020030468891
47-11=36,5+8/02=9,0.6150200304688899
2*36/9=8,40+17=57,0.614963606612885
54-36=18,7+92*0=7,0.6149636066128836
17+41=58,6*3/09=2,0.614963606612883
16+19=35,4*7-0=28,0.614907182756879
51-12=39,8*7+4=60,0.6148507589008694
34-10=24,8*6+9=57,0.6147943350448634
16+18=34,2*7-5=09,0.6146814873328516
56-19=37,8*2+4=20,0.6146814873328478
4*8-7=25,6+013=19,0.6146250634768492
3*+18=54,69-067=2,0.6146250634768478
40*1/5=8,66-37=29,0.6145686396208438
2*+17=34,68-059=9,0.6145686396208412
32+10=42,8*9-65=7,0.6145686396208375
58-41=17,9*2/3=06,0.614512215764829
4*6/03=8,71-59=12,0.6143993680528236
54*1/6=9,70-32=38,0.6143993680528194
3*1+5=08,69-22=47,0.6143429441968156
18+19=37,2*05-6=4,0.6143429441968147
68/17=04,9*2+5=23,0.6142865203408063
2*9/03=6,71+14=85,0.6142300964848026
6*3/09=2,58-47=11,0.6142300964848013
2*4-5=03,68+11=79,0.6141736726287947
14*4/7=8,6+029=35,0.6141172487727931
50-14=36,8*9/1=72,0.6141172487727877
52+19=71,6*4/08=3,0.6141172487727874
4*7-25=3,69+11=80,0.6141172487727868
34*+2=68,70-59=11,0.6140608249167833
59+12=71,6*04/3=8,0.6140044010607777
3*+18=54,90-67=23,0.6140044010607776
4*7-23=5,69+11=80,0.6140044010607755
29-+25=4,6*013=78,0.6139479772047725
5*1+3=08,69-22=47,0.6139479772047718
6*02/3=4,77-19=58,0.6139479772047709
1*5+03=8,69-47=22,0.6139479772047676
3*021=63,57-+49=8,0.6138915533487663
3+2*03=9,74-16=58,0.613891553348764
4+7*3=25,80-19=61,0.6138915533487623
17+2=019,8*6-45=3,0.6138915533487614
3*1+05=8,96-24=72,0.6138915533487568
35-29=06,7*+12=84,0.6138351294927565
2*+39=78,60/15=04,0.6137787056367597
4*92=368,70/14=+5,0.6137787056367537
16+19=35,7*4-20=8,0.6137787056367525
4*6/08=3,59+12=71,0.6137787056367509
11+53=64,8*02-9=7,0.6137787056367456
42-19=23,6*7+8=50,0.6137222817807501
1*3+01=4,86-57=29,0.6137222817807393
53-47=+6,9*12=108,0.6137222817807358
36/2=018,5*7+9=44,0.6136658579247394
2+84*0=2,56-17=39,0.6136658579247384
26-17=09,8*4+3=35,0.6136658579247317
43-24=19,6*7+8=50,0.6136094340687333
1*8-04=4,56+23=79,0.6135530102127263
11+47=58,6*03/9=2,0.6135530102127238
10+24=34,9*8-5=67,0.6135530102127214
3*+19=57,80-54=26,0.6134965863567178
5*8-38=2,76/19=04,0.6133837386447081
5+026=31,7*8-47=9,0.6133837386447071
3*21/7=9,80-54=26,0.6133837386447055
5*8-6=34,7+012=19,0.6133273147887
6*9/3=18,74-50=24,0.6132708909326974
2*36/8=9,40+17=57,0.6132144670766875
43+13=56,8*02-9=7,0.6132144670766864
1*3+7=10,89-24=65,0.6132144670766818
15+31=46,8*2-09=7,0.6132144670766813
3*+18=54,90-63=27,0.6131580432206843
6*1+01=7,92-58=34,0.6131580432206797
3*02+3=9,65-48=17,0.6131016193646732
40-23=17,5+8*8=69,0.6130451955086722
1*72/9=8,5+036=41,0.613045195508668
1*3+04=7,85-29=56,0.6130451955086673
85-71=14,9*02/3=6,0.6130451955086624
2*2+03=7,84-15=69,0.6129887716526644
3*7+8=29,60-15=45,0.6129887716526642
1+8/1=09,7*52=364,0.6129887716526624
104/13=8,5*7-6=29,0.6129323477966593
44+26=70,5*8-39=1,0.6129323477966565
2*9/03=6,85-14=71,0.6129323477966515
14+26=40,5*9-8=37,0.6128759239406503
1*1+6=07,83-29=54,0.6128759239406449
2*6+7=19,43-35=08,0.6128195000846519
4+83*0=4,69-12=57,0.6128195000846494
17+2=019,6*8-3=45,0.6127630762286383
102/17=6,5*9+3=48,0.6127630762286369
30/2-7=8,5*9+1=46,0.612763076228636
5*9+1=46,30/2-7=8,0.612763076228636
27+21=48,5*03-6=9,0.6127630762286315
1+01*7=8,64-39=25,0.6127066523726349
1+8/01=9,7*52=364,0.6127066523726301
50-34=16,9*8/72=1,0.6126502285166234
4*12/6=8,53+37=90,0.6125938046606226
45-26=19,7+83*0=7,0.6125938046606207
40-23=17,9*6+4=58,0.6125373808046133
1*54/9=6,80-23=57,0.6125373808046131
85-14=71,9*02/3=6,0.6125373808046026
35-29=06,4*+18=72,0.6124809569486133
2*016=32,57-49=+8,0.6124809569486073
18+39=57,4*2-02=6,0.6124809569486059
26-19=07,8*4+3=35,0.6124809569486002
3*6-10=8,42+17=59,0.6124245330926015
3*1+06=9,45-18=27,0.6124245330925998
19+16=35,4*7-0=28,0.6124245330925996
29+35=64,8*01-7=1,0.6124245330925935
48+13=61,7*2-09=5,0.6123681092365938
2*+31=62,57-049=8,0.6123681092365911
58+19=77,6*02/3=4,0.6122552615245833
4*02/1=8,93-36=57,0.6122552615245809
16*2/8=4,90-37=53,0.6122552615245804
2*034=68,9+7-1=15,0.6122552615245773
3+1*01=4,86-27=59,0.6122552615245744
13+29=42,8*7-56=0,0.6122552615245724
4*14/7=8,6+029=35,0.612198837668576
2+84*0=2,56-19=37,0.6121988376685735
35-26=09,7*8/4=14,0.612198837668573
42/14=03,8*9-67=5,0.6121988376685705
5*4-13=7,68+22=90,0.6121424138125673
1*56/7=8,33-29=04,0.6120859899565624
16+19=35,7*4-0=28,0.612085989956561
3*8+0=24,76-17=59,0.6120859899565609
16-2=014,3+8*7=59,0.6120859899565607
5*01+3=8,96-24=72,0.6120859899565565
70-21=49,8*6+5=53,0.6120295661005509
4+71*0=4,93-25=68,0.6120295661005504
1*56/8=7,4+029=33,0.6119731422445543
38-11=27,54/+9=06,0.6119731422445486
46-15=31,9*8+0=72,0.6119731422445477
23+19=42,8*7-50=6,0.6119731422445448
19+35=54,2*7-08=6,0.6119731422445427
2*04-5=3,61+18=79,0.6119167183885449
13+51=64,8*9-70=2,0.6119167183885372
6*01+3=9,75-27=48,0.6118602945325344
3+92*0=3,65-47=18,0.6118038706765316
3+92*0=3,74-56=18,0.6118038706765273
6*9/18=3,70-25=45,0.6117474468205243
30/2-8=7,5*9+1=46,0.6117474468205242
5*9+1=46,30/2-8=7,0.6117474468205242
4*014=56,82+-79=3,0.6117474468205192
4*8-26=6,57/19=03,0.6116910229645209
3*012=36,57-48=+9,0.611691022964519
38-21=17,6*+9=054,0.6115781752525071
3*4+5=17,90-62=28,0.6115781752525058
48+27=75,9*01-3=6,0.6115781752525021
70-12=58,9*4/1=36,0.6115781752525008
40-13=27,5+9*9=86,0.6115217513965019
3*24/9=8,70-54=16,0.6115217513965002
5*9-36=9,72/18=04,0.6115217513964972
3+24/8=6,70-51=19,0.6115217513964971
57-38=19,6*4+0=24,0.611465327540494
29-25=+4,6*013=78,0.6114653275404938
1+01*4=5,67-28=39,0.611465327540493
51-20=31,8*9+4=76,0.6114653275404909
1*6+02=8,74-39=35,0.6114653275404879
4+93*0=4,82-17=65,0.6114653275404873
2*34=+68,70-59=11,0.6114089036844872
5+91*0=5,87-24=63,0.6113524798284761
0*82+4=4,56-17=39,0.6112960559724766
3*21/7=9,64-56=08,0.6112960559724759
5+8*3=29,74-10=64,0.611296055972474
38+19=57,6*02-8=4,0.6112396321164718
3*01+6=9,78-24=54,0.6112396321164651
46+24=70,5*8-39=1,0.611239632116465
59+18=77,6*02/3=4,0.6111832082604622
1*8-7=01,25+39=64,0.61118320826046
2*018=36,79-+74=5,0.6111267844044559
3*6+0=18,74-45=29,0.6111267844044508
57-38=19,6+42*0=6,0.6110703605484545
4+7*8=60,51-12=39,0.6110703605484514
4*+07=28,55-19=36,0.6110703605484502
3*24/9=8,70-56=14,0.6110703605484487
23+1=024,9*8-65=7,0.611070360548442
37+29=66,40*1/5=8,0.6110139366924494
33-29=04,56*1/7=8,0.6110139366924444
55-16=39,7*4+0=28,0.6110139366924414
1+1*04=5,67-29=38,0.6110139366924392
3+82*0=3,79-14=65,0.611013936692438
2*6-7=05,83+11=94,0.6110139366924365
5*9-42=3,60+18=78,0.6110139366924348
3*8+1=25,76/19=04,0.6109575128364336
4*5-17=3,68+22=90,0.610901088980429
27+42=69,8*01-5=3,0.6109010889804258
71-59=12,8*03/4=6,0.6109010889804247
54*1/9=6,8+029=37,0.6108446651244193
1*6+1=07,83-54=29,0.6108446651244168
1+9*8=73,50-26=24,0.6107882412684202
2*01+6=8,74-39=35,0.6107882412684157
4+92*0=4,78-15=63,0.6107882412684155
6+01*1=7,92-38=54,0.6107882412684151
1+8*9=73,50-24=26,0.6107318174124146
30*1/6=5,77-29=48,0.6107318174124106
43-29=14,6*7+8=50,0.6107318174124102
6+013=19,7*8-2=54,0.6107318174124096
6*3/2=09,85-11=74,0.6107318174124076
6*03/2=9,85-14=71,0.610731817412406
16+3=019,4*8-7=25,0.6106753935564083
2*1+7=09,54-16=38,0.6106753935564074
13+51=64,2*8-9=07,0.6106753935564057
1*3+06=9,45-28=17,0.6106753935564042
42-23=19,8*+07=56,0.610675393556399
30/15=+2,7*94=658,0.6106189697003975
2*4-02=6,78+15=93,0.6106189697003899
6+91*0=6,73-28=45,0.6105625458443924
102/6=17,5*9+3=48,0.6104496981323783
46-27=19,8+53*0=8,0.6104496981323743
6+91*0=6,82-47=35,0.6104496981323733
24-+16=8,3*019=57,0.6103932742763702
6*03/9=2,85-14=71,0.6103932742763701
5+8/02=9,74-11=63,0.6103932742763677
3*021=63,84-+79=5,0.6103932742763675
30*1/5=6,77-28=49,0.6103368504203674
1*9-03=6,47+28=75,0.6103368504203661
4+6-07=3,59*2=118,0.6103368504203646
2*01+6=8,74-35=39,0.6103368504203627
6+91*0=6,82-45=37,0.6103368504203623
57/19=03,6*+2-8=4,0.6102804265643624
2*7-6=08,34+19=53,0.610280426564359
49+27=76,8*01-5=3,0.6102804265643539
126/9=14,3*05-7=8,0.6102240027083544
43+18=61,7*2-05=9,0.6102240027083518
57-18=39,6*02/3=4,0.6101675788523522
3*72=216,5-9+08=4,0.6101675788523488
6*02/3=4,77-59=18,0.6101675788523482
1*56/8=7,9+033=42,0.6101675788523451
3+71*0=3,89-25=64,0.6101675788523389
2+0*48=2,56-19=37,0.6101111549963393
23+19=42,8*7-56=0,0.6101111549963345
3*9+0=27,54-18=36,0.6100547311403374
38-17=21,6*9=+054,0.6100547311403374
6*9-50=4,71+12=83,0.610054731140336
7*2+5=19,80-34=46,0.6100547311403319
6*02/4=3,95-17=78,0.6100547311403302
22+47=69,8*01-5=3,0.6100547311403289
30+12=42,8*9-7=65,0.6100547311403284
42-10=32,7*8+9=65,0.6099983072843318
1*04+1=5,67-39=28,0.609998307284329
1+6*01=7,92-38=54,0.6099983072843247
54-36=18,9+72*0=9,0.6099983072843213
46-29=17,5+83*0=5,0.6098854595723228
4*7+2=30,69-18=51,0.6098854595723172
2*+17=34,68-59=09,0.6098854595723154
1*8-5=03,47+22=69,0.6098854595723148
1+84*0=1,79-23=56,0.6098854595723107
2*1+06=8,79-34=45,0.6098854595723101
14+20=34,8*9-7=65,0.6098854595723097
2*4-03=5,81+16=97,0.6098854595723097
16+3=019,4*8-25=7,0.6098290357163136
17+41=58,6*2-3=09,0.6098290357163074
4*4+9=25,80-13=67,0.609829035716307
34-20=14,9*7+5=68,0.6098290357163026
3+0*69=3,45-27=18,0.6097726118603062
2*016=32,57-48=+9,0.6097726118603041
1*8-03=5,22+47=69,0.6097161880042974
2/6*09=3,58-11=47,0.609716188004293
24+10=34,9*8-5=67,0.609716188004293
1*32/4=8,9+057=66,0.609716188004291
1+72*0=1,94-58=36,0.6097161880042881
5+01*3=8,76-27=49,0.6096597641482879
1*3+06=9,75-27=48,0.6096597641482857
56-37=19,8+42*0=8,0.6096597641482853
4+62*0=4,93-18=75,0.609659764148285
2*+18=36,56-049=7,0.6096033402922856
4+053=57,6*12/9=8,0.6096033402922835
32+16=48,7*02-9=5,0.6096033402922829
3+0*78=3,45-29=16,0.6095469164362817
4+0*82=4,56-17=39,0.6095469164362797
19+18=37,2*05-4=6,0.6095469164362783
4*8+0=32,75-16=59,0.6095469164362782
4*7/1=28,90-36=54,0.609546916436276
57/19=03,6*+2-4=8,0.6094904925802733
4+5*6=34,90-12=78,0.6094904925802705
2*03+3=9,74-16=58,0.6094904925802682
34+31=65,8*02-9=7,0.609490492580268
30+12=42,9*8-7=65,0.6094904925802674
4+86*0=4,72-13=59,0.6094340687242656
2+0*84=2,56-17=39,0.6094340687242636
3+021=24,8*9-67=5,0.609434068724263
2*06-7=5,83+11=94,0.6094340687242615
7+8/2=11,90-34=56,0.6094340687242596
6*4/08=3,71-59=12,0.6093776448682617
5*6/3=10,77-29=48,0.6093776448682585
1*9+5=14,78/03=26,0.6093776448682569
288/96=3,5*+14=70,0.6093776448682562
3+02*2=7,84-19=65,0.6093776448682542
29+13=42,8*7-56=0,0.6093776448682493
35-26=09,4*14/7=8,0.6093212210122537
6+91*0=6,73-48=25,0.6093212210122521
71-19=52,8*3/06=4,0.6093212210122507
10/5+1=3,9*72=648,0.6093212210122462
4*8-9=23,50+17=67,0.6092647971562463
7+61*0=7,83-29=54,0.6092647971562394
43-24=19,7*+08=56,0.6092083733002389
70-12=58,9+4*6=33,0.6092083733002357
31+15=46,9*8-0=72,0.6092083733002347
2*36/9=8,70-16=54,0.6091519494442339
2+51*0=2,86-39=47,0.6091519494442246
5*4-9=11,78/3=026,0.6090955255882308
50-16=34,7*3+8=29,0.6090955255882294
03*26=78,5+9/1=14,0.6090955255882278
17+41=58,2*9/6=03,0.6090955255882274
3*+08=24,91-15=76,0.6090955255882264
54+20=74,9*6/18=3,0.609095525588223
38-1=037,4*6+5=29,0.6090391017322239
40-13=27,7*9+5=68,0.6090391017322218
58-17=41,9*2/3=06,0.6090391017322161
47-19=28,5+63*0=5,0.6089826778762218
3*6/09=2,45-17=28,0.6089826778762153
3*9-5=22,68/04=17,0.6089826778762124
5*9-38=7,8+016=24,0.6089826778762101
2*+13=26,84-09=75,0.608982677876209
4*06/8=3,71-52=19,0.6089262540202086
322/46=7,5*+18=90,0.6089262540202085
5+8*4=37,90-21=69,0.6089262540202015
27+21=48,5*3-06=9,0.6088698301641972
19+-4=15,3*026=78,0.6088698301641969
39+14=53,7*2-08=6,0.6088698301641964
7+12=019,8*6-43=5,0.6088698301641946
1*32/8=4,66-57=09,0.6088134063081954
2*8+0=16,74-39=35,0.6088134063081949
4*92=368,70-16=54,0.6087569824521916
4*9/6=06,58-21=37,0.6087569824521903
2*13=026,57-+48=9,0.6087569824521879
35+29=64,8*1-07=1,0.6087569824521835
16+3=019,8*7-54=2,0.6087569824521832
3*+21=63,84-75=09,0.6087569824521829
2*6-08=4,37+19=56,0.6087005585961816
10+3-9=4,8*72=576,0.6087005585961807
47-31=16,5+8/2=09,0.60864413474018
2+014=16,9*5-8=37,0.6086441347401708
1*8-02=6,45+34=79,0.6085877108841734
18+39=57,6*4-24=0,0.6085877108841689
1+0*87=1,64-25=39,0.6085877108841687
3*012=36,57-+8=49,0.6085312870281656
2*43=+86,70-59=11,0.6085312870281645
42-10=32,8*6+9=57,0.608531287028163
3*02+2=8,97-46=51,0.6085312870281585
1*12/4=3,8+059=67,0.6085312870281575
1+74*0=1,93-25=68,0.6085312870281556
3+7*1=10,89-24=65,0.6085312870281551
2*8+0=16,79-44=35,0.6084748631721569
30+12=42,9*8-5=67,0.6084748631721536
13+51=64,8*2-09=7,0.6084748631721535
6*1+02=8,79-44=35,0.6084748631721533
1*7+02=9,54-16=38,0.6084748631721516
40*1/5=8,69-32=37,0.6084184393161547
58-12=46,7+93*0=7,0.6084184393161497
3*1+06=9,75-28=47,0.6084184393161491
2*9-18=0,54+13=67,0.6084184393161485
70-14=56,9*3+1=28,0.6084184393161474
3*6+2=20,89-14=75,0.6084184393161438
1+8*5=41,36-27=09,0.6083620154601458
5*4-13=7,62+28=90,0.6083620154601451
39+16=55,4*7-28=0,0.6083620154601449
2+7*4=30,69-51=18,0.6083620154601432
47+28=75,9*01-3=6,0.6083055916041348
4*7-23=5,61+19=80,0.6082491677481328
26-17=+9,4*85=340,0.6082491677481322
32+16=48,7*02-5=9,0.6082491677481301
1*04-1=3,59+27=86,0.6082491677481296
21+27=48,5*3-09=6,0.608192743892127
38+16=54,7*02-5=9,0.6081927438921265
13-+05=8,7*92=644,0.6081927438921244
58-20=38,7*9+1=64,0.608192743892124
14+39=53,7*2-08=6,0.6081927438921239
1+1*04=5,67-28=39,0.6081927438921231
14+35=49,7*2-08=6,0.6081927438921165
3+0*58=3,46-27=19,0.608136320036124
2*9/03=6,85-71=14,0.6081363200361155
1*42/7=6,90-58=32,0.6080798961801155
45-27=18,6*3/09=2,0.6080798961801128
4+0*62=4,57-19=38,0.6080798961801125
4+5*7=39,80-12=68,0.6080798961801098
3*02+2=8,97-51=46,0.6080798961801054
5*4-17=3,62+28=90,0.608023472324109
4*9/18=2,7+056=63,0.608023472324107
084-79=5,2*+13=26,0.608023472324106
6*+03=18,74-29=45,0.6080234723241051
6*1+02=8,97-44=53,0.6080234723240967
33-05=28,4*+19=76,0.6079670484681019
2*6-08=4,39+17=56,0.6079670484681007
3*+29=87,70-56=14,0.6079670484681
24*1/8=3,9+057=66,0.6079670484680941
4*9-30=6,51+27=78,0.607910624612101
14/+02=7,6*93=558,0.6079106246120926
1+54*0=1,67-29=38,0.607910624612092
60-31=29,7+8*5=47,0.6079106246120914
53+11=64,9*8-0=72,0.6079106246120882
5*7-29=6,8+033=41,0.6078542007560832
47-19=28,5+0*36=5,0.6077977769000875
42+17=59,6*3-18=0,0.6077977769000844
2+86*0=2,73-14=59,0.6077977769000817
4+7*5=39,80-18=62,0.6077977769000763
4*9/36=1,8+017=25,0.607797776900076
4*03-5=7,69+12=81,0.6077413530440783
3*6+0=18,79-24=55,0.6077413530440742
52-14=38,6+0*97=6,0.6076849291880695
35-29=06,8*7/4=14,0.6076849291880632
24/6+4=8,3*019=57,0.6076285053320654
4+2*8=20,56-19=37,0.6076285053320643
